id,nba_id,display_name,first_name,last_name,roster_status,from_year,to_year,player_code,team_id,team_city,team_name,team_abbreviation,team_code
numeric,numeric,string,string,string,enum,numeric,numeric,string,numeric,string,string,string,string
1,76001,Alaa Abdelnaby,Alaa,Abdelnaby,0,1990,1994,HISTADD_alaa_abdelnaby,0,,,,
2,76002,Zaid Abdul-Aziz,Zaid,Abdul-Aziz,0,1968,1977,HISTADD_zaid_abdul-aziz,0,,,,
3,76003,Kareem Abdul-Jabbar,Kareem,Abdul-Jabbar,0,1969,1988,HISTADD_kareem_abdul-jabbar,0,,,,
4,51,Mahmoud Abdul-Rauf,Mahmoud,Abdul-Rauf,0,1990,2000,mahmoud_abdul-rauf,0,,,,
5,1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,0,1997,2003,tariq_abdul-wahad,0,,,,
6,949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,0,1996,2007,shareef_abdur-rahim,0,,,,
7,76005,Tom Abernethy,Tom,Abernethy,0,1976,1980,HISTADD_tom_abernethy,0,,,,
8,76006,Forest Able,Forest,Able,0,1956,1956,HISTADD_frosty_able,0,,,,
9,76007,John Abramovic,John,Abramovic,0,1946,1947,HISTADD_brooms_abramovic,0,,,,
10,203518,Alex Abrines,Alex,Abrines,1,2016,2018,alex_abrines,1610612760,Oklahoma City,Thunder,OKC,thunder
11,101165,Alex Acker,Alex,Acker,0,2005,2008,alex_acker,0,,,,
12,76008,Donald Ackerman,Donald,Ackerman,0,1953,1953,HISTADD_buddy_ackerman,0,,,,
13,76009,Mark Acres,Mark,Acres,0,1987,1992,HISTADD_mark_acres,0,,,,
14,76010,Charles Acton,Charles,Acton,0,1967,1967,HISTADD_bud_acton,0,,,,
15,203112,Quincy Acy,Quincy,Acy,1,2012,2018,quincy_acy,1610612751,Brooklyn,Nets,BKN,nets
16,76011,Alvan Adams,Alvan,Adams,0,1975,1987,HISTADD_alvan_adams,0,,,,
17,76012,Don Adams,Don,Adams,0,1970,1976,HISTADD_don_adams,0,,,,
18,200801,Hassan Adams,Hassan,Adams,0,2006,2008,hassan_adams,0,,,,
19,1629121,Jaylen Adams,Jaylen,Adams,0,2018,2018,jaylen_adams,0,,,,
20,203919,Jordan Adams,Jordan,Adams,0,2014,2015,jordan_adams,0,,,,
21,149,Michael Adams,Michael,Adams,0,1985,1995,michael_adams,0,,,,
22,203500,Steven Adams,Steven,Adams,1,2013,2018,steven_adams,1610612760,Oklahoma City,Thunder,OKC,thunder
23,912,Rafael Addison,Rafael,Addison,0,1986,1996,rafael_addison,0,,,,
24,1628389,Bam Adebayo,Bam,Adebayo,1,2017,2018,bam_adebayo,1610612748,Miami,Heat,MIA,heat
25,1629061,Deng Adel,Deng,Adel,0,2018,2018,deng_adel,0,,,,
26,76015,Rick Adelman,Rick,Adelman,0,1968,1974,HISTADD_rick_adelman,0,,,,
27,202399,Jeff Adrien,Jeff,Adrien,0,2010,2014,jeff_adrien,0,,,,
28,201167,Arron Afflalo,Arron,Afflalo,1,2007,2017,arron_afflalo,1610612753,Orlando,Magic,ORL,magic
29,200772,Maurice Ager,Maurice,Ager,0,2006,2010,maurice_ager,0,,,,
30,76016,Mark Aguirre,Mark,Aguirre,0,1981,1993,HISTADD_mark_aguirre,0,,,,
31,201336,Blake Ahearn,Blake,Ahearn,0,2007,2011,blake_ahearn,0,,,,
32,76017,Danny Ainge,Danny,Ainge,0,1981,1994,HISTADD_danny_ainge,0,,,,
33,201582,Alexis Ajinca,Alexis,Ajinca,1,2008,2017,alexis_ajinca,1610612740,New Orleans,Pelicans,NOP,pelicans
34,76018,Henry Akin,Henry,Akin,0,1966,1967,HISTADD_henry_akin,0,,,,
35,203006,Josh Akognon,Josh,Akognon,0,2012,2012,josh_akognon,0,,,,
36,1629152,DeVaughn Akoon-Purcell,DeVaughn,Akoon-Purcell,0,2018,2018,devaughn_akoon-purcell,0,,,,
37,202374,Solomon Alabi,Solomon,Alabi,0,2010,2011,solomon_alabi,0,,,,
38,76019,Mark Alarie,Mark,Alarie,0,1986,1990,HISTADD_mark_alarie,0,,,,
